day_of_year,hour,temperature,humidity,solar_radiation,pressure
1,0,9.8,86.8,0.0,983.6899999999999
1,1,9.42,90.4,0.0,983.836
1,2,8.9,92.8,0.0,983.784
1,3,8.940000000000001,89.8,0.0,984.0620000000001
1,4,8.8,90.4,0.8,984.5200000000001
1,5,8.76,90.8,21.2,984.8879999999999
1,6,10.540000000000001,89.2,154.8,985.1139999999999
1,7,13.559999999999999,77.4,291.4,985.39
1,8,15.7,66.4,425.2,985.108
1,9,16.740000000000002,60.8,491.4,984.4100000000001
1,10,17.54,56.2,535.0,983.5440000000001
1,11,18.08,52.4,509.8,982.85
1,12,18.32,50.4,418.2,982.734
1,13,18.14,50.8,250.4,982.756
1,14,17.36,54.4,83.8,982.8059999999999
1,15,15.6,62.0,0.0,983.0
1,16,13.84,77.0,0.0,983.4799999999999
1,17,12.76,81.6,0.0,983.9680000000001
1,18,12.120000000000001,82.6,0.0,984.0459999999999
1,19,11.139999999999999,86.2,0.0,984.0440000000001
1,20,10.36,87.8,0.0,984.064
1,21,9.74,88.0,0.0,983.958
1,22,9.1,84.5,0.0,984.2475
1,23,9.075,85.75,0.0,984.3425
2,0,8.75,84.75,0.0,984.205
2,1,8.475,85.0,0.0,984.235
2,2,8.2,87.25,0.0,984.1625
2,3,8.625,85.25,0.0,984.3725
2,4,8.65,85.5,0.75,984.815
2,5,9.175,84.0,37.5,985.2375
2,6,11.45,78.75,220.25,985.515
2,7,13.8,70.5,387.5,985.905
2,8,15.175,66.0,516.0,985.795
2,9,16.1,60.25,558.75,985.2
2,10,16.875,55.75,630.0,984.63
2,11,17.4,52.75,490.0,984.185
2,12,16.875,54.25,293.5,984.215
2,13,16.625,56.25,216.25,984.33
2,14,15.925,55.0,81.75,984.4725
2,15,14.25,64.5,0.0,984.8875
2,16,12.95,71.5,0.0,985.3299999999999
2,17,11.725,77.25,0.0,985.5925
2,18,10.65,79.25,0.0,985.63
2,19,10.15,80.25,0.0,985.6475
2,20,9.15,84.75,0.0,985.62
2,21,9.2,85.0,0.0,985.46
2,22,8.725,85.75,0.0,985.1775
2,23,8.8,86.5,0.0,985.1075
3,0,9.049999999999999,86.25,0.0,984.905
3,1,9.125,86.25,0.0,984.6725
3,2,9.6,83.5,0.0,984.56
3,3,9.025,85.75,0.0,984.74
3,4,9.325,83.25,1.25,985.0375
3,5,8.8,84.0,45.75,985.28
3,6,11.375,77.75,211.0,985.5699999999999
3,7,14.45,66.75,328.75,985.905
3,8,16.0,60.5,496.75,985.8175
3,9,16.875,57.25,571.25,985.1125
3,10,17.375,53.75,619.0,984.3725
3,11,17.975,51.75,567.25,983.7325
3,12,18.075,50.0,383.5,983.6625
3,13,17.625,51.5,197.75,983.8125
3,14,16.875,55.5,69.0,984.01
3,15,15.3,61.0,0.25,984.3425
3,16,13.325,73.25,0.0,984.9225
3,17,11.649999999999999,80.25,0.0,985.225
3,18,10.15,84.75,0.0,985.2674999999999
3,19,9.325,87.0,0.0,985.245
3,20,8.525,86.5,0.0,985.225
3,21,8.4,89.75,0.0,985.1800000000001
3,22,7.875,88.5,0.0,984.8225
3,23,7.7,88.0,0.0,984.5825
4,0,7.175000000000001,88.0,0.0,984.6
4,1,6.825,88.75,0.0,984.3
4,2,6.775,88.75,0.0,984.1675
4,3,7.1,87.0,0.0,984.4
4,4,7.6,85.75,0.75,984.58
4,5,7.9,86.0,26.0,984.8875
4,6,10.6,79.25,156.25,985.03
4,7,14.075,64.5,357.25,985.3125
4,8,15.875,58.5,466.25,985.0799999999999
4,9,16.725,54.5,463.0,984.5174999999999
4,10,17.65,51.25,567.25,983.82
4,11,18.25,47.5,535.0,983.3225
4,12,18.9,45.0,383.75,983.225
4,13,18.2,47.25,236.75,983.255
4,14,16.975,55.0,70.5,983.3075
4,15,15.425,60.25,0.25,983.48
4,16,13.975000000000001,66.75,0.0,983.84
4,17,13.075,70.0,0.0,984.0325
4,18,12.675,70.25,0.0,984.17
4,19,12.45,72.5,0.0,984.0925
4,20,11.15,74.75,0.0,983.8900000000001
4,21,10.975,74.0,0.0,983.56
4,22,9.825,76.75,0.0,983.265
4,23,9.600000000000001,75.75,0.0,983.3625
5,0,9.2,78.0,0.0,983.2
5,1,9.45,77.25,0.0,982.9325
5,2,9.1,78.0,0.0,982.8125
5,3,9.425,77.5,0.0,982.94
5,4,8.825,77.75,1.5,983.185
5,5,8.775,78.75,47.5,983.3475
5,6,11.55,75.25,218.75,983.635
5,7,15.139999999999997,64.0,382.6,983.7379999999999
